Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted
Tim Hightower,ARI,2010,Y,3,1285500,428500,0,0,16,580,530,44,6,8,117,153,758,4.954248366,5,448,5,21,41,21,136,6.476190476,1,7.3,894,1388,4309,19,0.5461095101,0.2074727315,0.3157894737,603328,1809984,0
Michael Turner,ATL,2010,N,6,34500000,5750000,0,0,17,627,597,27,2,4,54,344,1410,4.098837209,13,963,2,33,18,12,85,7.083333333,0,7.7,1495,1891,5458,42,0.745637229,0.2739098571,0.3095238095,8096000,48576000,0
Ray Rice,BAL,2010,Y,4,3159000,789750,0,0,18,896,865,5,25,11,119,336,1376,4.095238095,6,753,2,26,87,75,700,9.333333333,2,9.7,2076,1831,5166,36,0.7515019115,0.4018583043,0.2222222222,1111968,4447872,0
Fred Jackson,BUF,2010,N,4,7500000,1875000,0,0,16,688,576,86,22,4,127,222,939,4.22972973,5,646,6,19,49,31,215,6.935483871,2,8.8,1154,1720,4878,30,0.5459302326,0.2365723657,0.2333333333,2640000,10560000,0
Jonathan Stewart,CAR,2010,Y,5,20600000,4120000,0,0,14,351,348,1,2,5,42,178,770,4.325842697,2,484,4,19,13,8,103,12.875,1,8.6,873,1846,4135,16,0.4171180932,0.2111245466,0.1875,5800960,29004800,0
Matt Forte,CHI,2010,Y,4,3766500,941625,0,0,18,798,727,43,23,5,131,279,1222,4.379928315,6,713,6,33,82,64,693,10.828125,3,9.6,1915,1616,4631,33,0.7561881188,0.4135175988,0.2727272727,1325808,5303232,0
Cedric Benson,CIN,2010,N,2,6500000,3250000,0,0,16,671,667,1,3,3,62,322,1116,3.465838509,7,751,7,27,35,28,178,6.357142857,1,7.1,1294,1522,5289,34,0.7332457293,0.2446587257,0.2352941176,4576000,9152000,0
Peyton Hillis,CLE,2010,Y,4,1754800,438700,0,0,16,764,739,6,18,4,111,270,1181,4.374074074,11,787,8,23,68,61,477,7.819672131,2,7.5,1658,1646,4635,26,0.7174969623,0.3577130529,0.5,617689.6,2470758.4,0
Felix Jones,DAL,2010,Y,5,10525000,2105000,0,0,16,555,545,9,1,4,104,185,800,4.324324324,1,501,3,25,51,48,450,9.375,1,11.9,1250,1786,5828,39,0.4479283315,0.2144818119,0.05128205128,2963840,14819200,0
Knowshon Moreno,DEN,2010,Y,5,17075000,3415000,0,0,13,485,472,2,9,7,62,182,779,4.28021978,5,454,4,22,45,37,372,10.05405405,3,10.2,1151,1544,5582,38,0.5045336788,0.2061984952,0.2105263158,4808320,24041600,0
Jahvid Best,DET,2010,Y,5,9845000,1969000,0,0,16,551,488,31,31,5,36,171,559,3.269005848,4,303,1,13,74,58,487,8.396551724,2,10.2,1046,1613,5423,37,0.3465592064,0.1928821685,0.1621621622,2772352,13861760,0
Brandon Jackson,GB,2010,Y,4,2805000,701250,0,0,20,621,609,3,8,3,114,196,731,3.729591837,3,525,2,18,57,48,406,8.458333333,2,9.2,1137,1606,5730,42,0.4551681196,0.1984293194,0.119047619,987360,3949440,0
Arian Foster,HOU,2010,Y,3,1192500,397500,0,0,16,846,818,4,24,8,112,327,1616,4.941896024,16,846,3,42,78,66,604,9.151515152,2,9.5,2220,2042,6186,44,0.791380999,0.3588748788,0.4090909091,559680,1679040,0
Donald Brown,IND,2010,Y,5,10435000,2087000,0,0,13,410,396,7,7,4,51,129,497,3.852713178,2,370,0,8,28,20,205,10.25,0,9.2,702,1483,6092,46,0.3351314902,0.1152330926,0.04347826087,2938496,14692480,0
Maurice Jones-Drew,JAX,2010,N,5,31100000,6220000,0,0,14,680,670,5,5,3,70,301,1311,4.355481728,5,858,4,34,39,34,317,9.323529412,2,9.6,1628,2395,5460,40,0.5473903967,0.2981684982,0.175,8757760,43788800,0
