Player Name,Team,Year,Rookie Contract (Y/N),Contract Length,Total Pay,Yearly Pay (AAV),Team Payroll,Player Percentage of Payroll,Games Played,Snaps Played,Backfield Snaps,Slot Snaps,Wide snaps,QB Pressure Allowed (PR),Total Pressure Oppurtnuties (OPP),Rush Attempts,Rush Yards,Rush YPA,Rush TDs,Rush Yac (YCO),Fumbles,Explosive Runs (10+),Recieving Targets,Recieving Receptions,Recieving Yards,Y/Rec,Receiving TDs,YAC/REC,All-Purpose Yards,Team Rushing Yards,Team Total Yards,Team Total Touchdowns,Player Percentage of Rushing Yards,Player Percentage of Offensive Yards,Player Percentage of Touchdowns,AAV Adjusted,Total Pay Adjusted,Payroll Adjusted,Extra Contract Data,Guaranteed Money On Current Deal,Money Spent On RBs This Year,Player: Total # of Contracts,Player: # of Years in NFL,GM adjusted,Money spent adjusted
David Johnson,ARI,2018,N,3,39000000,13000000,172915077,0.07518141405,16,749,698,18,31,3,78,258,940,3.643410853,7,615,3,20,70,50,446,8.92,3,7.9,1386,1342,3865,25,0.7004470939,0.3586028461,0.4,15899000,47697000,211475139.2,,31882500,6800000,4,8,38992297.5,8316400
Tevin Coleman,ATL,2018,Y,4,3219372,804843,173654866,0.004634727598,16,580,525,22,32,5,76,167,800,4.790419162,4,486,2,25,40,32,276,8.625,5,8.5,1076,1573,6226,48,0.5085823268,0.1728236428,0.1875,984322.989,3937291.956,212379901.1,,745224,2100000,6,8,911408.952,2568300
Gus Edwards,BAL,2018,Y,3,1710000,570000,170531630,0.003342488429,12,372,298,2,7,2,25,145,741,5.110344828,2,464,0,17,2,2,20,10,0,8.5,761,2441,5999,38,0.3035641131,0.1268544757,0.05263157895,697110,2091330,208560183.5,,0,2300000,4,6,0,2812900
Lesean Mccoy,BUF,2018,N,5,40000000,8000000,179596976,0.04454417985,14,490,441,19,26,3,54,161,514,3.192546584,3,323,0,11,41,34,238,7,0,8.6,752,1984,4778,29,0.2590725806,0.1573880285,0.1034482759,9784000,48920000,219647101.6,,18250000,13500000,5,12,22319750,16510500
Christian McCaffrey,CAR,2018,Y,4,17241304,4310326,184421777,0.02337210968,16,967,858,65,43,7,93,219,1098,5.01369863,7,639,4,31,122,108,874,8.092592593,6,8,1972,2136,5972,45,0.5140449438,0.3302076356,0.2888888889,5271528.698,21086114.79,225547833.3,,17241304,5500000,2,7,21086114.79,6726500
Jordan Howard,CHI,2018,Y,4,2588022,647005.5,179461788,0.003605254953,17,646,632,8,2,2,82,260,970,3.730769231,9,713,2,19,27,20,145,7.25,0,7.1,1115,1938,5502,49,0.5005159959,0.2026535805,0.1836734694,791287.7265,3165150.906,219481766.7,,248022,3400000,5,7,303330.906,4158200
Joe Mixon,CIN,2018,Y,4,5450174,1362543.5,180326765,0.007555969298,16,595,557,17,21,6,39,236,1171,4.961864407,8,652,0,34,54,43,296,6.88372093,1,7.9,1467,1682,4972,43,0.6961950059,0.2950522928,0.2093023256,1666390.701,6665562.802,220539633.6,,2816498,6100000,2,7,3444577.054,7460300
Nick Chubb,CLE,2018,Y,4,7383095,1845773.75,181948164,0.0101445033,16,501,379,5,10,5,30,192,996,5.1875,8,858,0,28,28,20,149,7.45,2,9.1,1145,1893,5900,44,0.5261489699,0.1940677966,0.2272727273,2257381.296,9029525.185,222522604.6,,5896309,5600000,2,6,7211185.907,6848800
Ezekiel Elliot,DAL,2018,Y,4,24956341,6239085.25,173992050,0.03585845014,17,1022,952,45,19,8,91,350,1618,4.622857143,8,1083,6,45,100,83,618,7.445783133,3,7.8,2236,1963,5501,35,0.8242485991,0.4064715506,0.3142857143,7630401.261,30521605.04,212792277.2,,24506340,9200000,3,8,29971253.82,11251600
Phillip Lindsay,DEN,2018,Y,3,1725000,575000,181619996,0.003165950956,16,516,399,32,17,2,32,192,1037,5.401041667,9,451,0,30,44,35,241,6.885714286,1,8.7,1278,1907,5602,39,0.5437860514,0.2281328097,0.2564102564,703225,2109675,222121255.1,,15000,2100000,3,5,18345,2568300
